dataset_name,dataset_size,task_type,best_val_metric,test_result
openml_HappinessRank_2015,small,regression,0.6750776,0.47709554
openml_boston,small,regression,0.9365835,0.48098847
openml_echoMonths,small,regression,0.939864,1.1267459
openml_strikes,small,regression,2.2980683,1.6974236
openml_no2,small,regression,1.1397283,0.79212624
road_safety,large,binclass,0.7257677247447069,0.7276065862397699
higgs_small,large,binclass,0.6662968270177564,0.6616467190989539
bank_marketing,large,binclass,0.7790660630449362,0.7717772010730755
MagicTelescope,large,binclass,0.8444735051291526,0.8413898065876524
credit,large,binclass,0.7730743635222865,0.7796052631578947
binarized_pol,large,binclass,0.881974325097119,0.8806410761131094
helena,large,multiclass,0.30754481832997793,0.3079754601226994
jannis,large,multiclass,0.6498469806673136,0.6511016898548994
eye,large,multiclass,0.5242995997712979,0.5123400365630713
covtype,large,multiclass,0.7480368322540393,0.7467793430462208
Brazilian_houses,large,regression,0.9791354,0.18226962
medical_charges,large,regression,0.9532601,0.19019003
nyc_taxi_green_dec_2016,large,regression,1.0094588,0.7878999
Ailerons,large,regression,1.1075974,0.52620834
california,large,regression,0.9305784,0.52677757
sulfur,large,regression,0.84064823,0.42676562
pol,large,regression,1.0765967,0.5337735
SGEMM_GPU_kernel_performance,large,regression,0.92024773,0.14509903
diamonds,large,regression,0.8953056,0.27022836
house_sales,large,regression,0.9849024,0.45935646
house,large,regression,1.0802385,0.6747831
