dataset_name,dataset_size,task_type,best_val_metric,test_result
openml_cholesterol,small,regression,0.9056670188238559,1.4275200261516778
openml_auto_price,small,regression,0.6459279042395372,0.6355668161519312
openml_DEE,small,regression,0.3931036131883216,0.43596054754551994
openml_Reading_Hydro,small,regression,0.28345524319142806,0.2881015320775886
openml_pm10,small,regression,0.9858047456430914,1.0157729407913747
openml_lowbwt,small,regression,0.6477750128624683,0.6777172251353644
openml_meta,small,regression,1.4337960498069509,0.667366090586814
openml_Forest_Fire_Area,small,regression,1.7589148561691215,1.3048976797425433
openml_cps_85_wages,small,regression,0.7241847189733563,1.0103281251057197
openml_HappinessRank_2015,small,regression,0.3418355538417619,0.4238045154095604
openml_boston,small,regression,0.46666190458604145,0.5730221015552308
openml_echoMonths,small,regression,0.93668915333573,0.9050693384763975
openml_strikes,small,regression,1.6099597646294102,2.0293105035935524
openml_no2,small,regression,0.9158007404288576,0.854536933817247
road_safety,large,binclass,0.8182265758514404,0.8007732629776001
higgs_small,large,binclass,0.7114360332489014,0.6933830976486206
bank_marketing,large,binclass,0.8236770033836365,0.8295406699180603
MagicTelescope,large,binclass,0.8806573748588562,0.8720279932022095
credit,large,binclass,0.8232367634773254,0.7942689657211304
binarized_pol,large,binclass,0.9710259437561035,0.9513540267944336
helena,large,multiclass,0.29829224944114685,0.2866482734680176
jannis,large,multiclass,0.6777609586715698,0.6558040380477905
eye,large,multiclass,0.497560977935791,0.4886857271194458
covtype,large,multiclass,0.9018370509147644,0.900785505771637
Brazilian_houses,large,regression,0.21420233955102946,0.1216393148147104
medical_charges,large,regression,0.14385409499375393,0.14389827378956108
nyc_taxi_green_dec_2016,large,regression,0.6968591611285317,0.7187482585056603
Ailerons,large,regression,0.4261634406243798,0.42119941659585375
california,large,regression,0.5381338440880528,0.5317165906281052
sulfur,large,regression,0.47346355127352385,0.5983928803226272
pol,large,regression,0.2608504909797393,0.25921769542606043
SGEMM_GPU_kernel_performance,large,regression,0.0183835932922578,0.01834749784953495
diamonds,large,regression,0.2468902399091371,0.2464401743533563
house_sales,large,regression,0.38440048009264893,0.39098722829228466
house,large,regression,0.6947754918569616,0.6768357313253455
