dataset_name,dataset_size,task_type,best_val_metric,test_result
kaggle_Real_Estate_DataSet,small,binclass,0.9637046456336975,0.922959566116333
openml_Indian_Liver_Patient_Patient_Records_KFolds_5folds,small,binclass,0.6745169162750244,0.7119064331054688
openml_Diabetes_Data_Set,small,binclass,0.8228609561920166,0.8734739422798157
kaggle_Penguins_Classified,small,binclass,1.0,1.0
kaggle_Collection_of_Classification___Regression_Datasets_House_Price_,small,binclass,0.9297227263450623,0.9488939046859741
kaggle_Credit_Card_Approval,small,binclass,0.943965494632721,0.9294990301132202
UCI_Breast_Cancer_Coimbra,small,binclass,0.8271604776382446,0.5333333015441895
openml_student_grade_pass_or_fail_prediction,small,binclass,1.0,1.0
kaggle_Development_Index,small,binclass,1.0,1.0
UCI_Climate_Model_Simulation_Crashes,small,binclass,0.9963834285736084,0.961904764175415
kaggle_Breast_Cancer_Dataset,small,binclass,0.9925521016120911,1.0
UCI_Quality_Assessment_of_Digital_Colposcopies,small,binclass,0.8055555820465088,0.54666668176651
kaggle_Startup_Success_Prediction,small,binclass,0.7382577657699585,0.815929651260376
UCI_Early_stage_diabetes_risk_prediction_dataset,small,binclass,0.9894179701805115,0.9642307758331299
UCI_extention_of_Z_Alizadeh_sani_dataset,small,binclass,0.9999999403953552,1.0
kaggle_Automobiles,small,binclass,0.9921568632125854,0.9904306530952454
kaggle_The_Estonia_Disaster_Passenger_List,small,binclass,0.6473684310913086,0.6152734756469727
openml_Intersectional_Bias_Assessment__Testing_Data_,small,binclass,0.9951083064079285,0.9955389499664307
UCI_Z_Alizadeh_Sani,small,binclass,0.9092592597007751,0.8138587474822998
openml_nki70.arff,small,binclass,0.9047619104385376,0.850649356842041
openml_Pima_Indians_Diabetes,small,binclass,0.8151737451553345,0.8277839422225952
kaggle_Horse_Colic_Dataset__with_test_file_,small,binclass,0.8395833969116211,0.7102396488189697
openml_Swiss_banknote_conterfeit_detection,small,binclass,1.0,1.0
openml_hungarian,small,binclass,0.9798387289047241,0.8746867179870605
UCI_HCV_data,small,binclass,0.8719512224197388,0.7760416865348816
openml_analcatdata_lawsuit,small,binclass,1.0,0.9999999403953552
UCI_Absenteeism_at_work,small,binclass,0.8609848618507385,0.733116865158081
kaggle_Bigg_Boss_India,small,binclass,1.0,1.0
UCI_Cervical_cancer__Risk_Factors_,small,binclass,0.7763779163360596,0.5536458492279053
UCI_Audit_Data,small,binclass,0.9997342824935913,0.9991371631622314
UCI_User_Knowledge_Modeling,small,binclass,0.9962121248245239,0.9640523195266724
openml_analcatdata_creditscore,small,binclass,1.0,1.0
kaggle_Audit_Data,small,binclass,0.9973424673080444,0.9817084074020386
openml_The_Estonia_Disaster_Passenger_List,small,binclass,0.671729326248169,0.551689624786377
kaggle_chronic_kidney_disease,small,binclass,0.9978355169296265,0.9980000257492065
kaggle_Analytics_Vidhya_Loan_Prediction,small,binclass,0.7359234690666199,0.7032519578933716
UCI_Heart_failure_clinical_records,small,binclass,0.893750011920929,0.7781955003738403
openml_tokyo1,small,binclass,0.9812943935394287,0.9778149127960205
kaggle_Compositions_of_Glass,small,binclass,0.924242377281189,0.7678571343421936
kaggle_Store_Data_Performance,small,binclass,0.6938775777816772,0.5600000023841858
UCI_QSAR_Bioconcentration_classes_dataset,small,binclass,0.7068828344345093,0.7788208723068237
openml_Pokmon_Legendary_Data,small,binclass,0.8649425506591797,0.932876706123352
kaggle_Pima_Indians_Diabetes_with_null_values,small,binclass,0.8485962748527527,0.8597853779792786
kaggle_Customer_Classification,small,binclass,0.6359648704528809,0.6228377819061279
UCI_Parkinson_Dataset_with_replicated_acoustic_features,small,binclass,0.8999999761581421,0.8745819330215454
openml_DiabeticMellitus,small,binclass,0.9609194993972778,1.0
openml_Heart_disease_classification,small,binclass,0.8054545521736145,0.8113425970077515
kaggle_Campus_Recruitment,small,binclass,0.8791667222976685,0.8125
kaggle_fitbit_dataset,small,binclass,0.9082707166671753,0.8607142567634583
openml_fishcatch,small,regression,0.16651738579295086,0.2268319500782413
openml_wisconsin,small,regression,0.9254924790578106,0.9723078398622583
openml_yacht_hydrodynamics,small,regression,0.10319047821490568,0.05007742553228397
openml_cpu,small,regression,0.1513709221656053,0.46207915374142916
openml_pharynx,small,regression,0.7274789260486166,0.8486833809732206
openml_disclosure_x_noise,small,regression,0.9698104284310715,0.987895060838882
openml_visualizing_environmental,small,regression,1.099368026563812,0.8755885597068908
openml_rmftsa_ladata,small,regression,0.6771009271732259,0.6327840775123281
openml_cleveland,small,regression,0.6442988121065577,0.6589711177195637
openml_residential_building,small,regression,0.2568471057624819,0.258557658831831
openml_lungcancer_shedden,small,regression,0.854653270252184,0.8803080929235197
openml_forest_fires,small,regression,0.31511937517187233,0.4684442158549083
openml_cloud,small,regression,0.2763879451437407,0.41903374367745094
openml_boston_corrected,small,regression,0.4684952679540661,0.47320153175502716
openml_liver_disorders,small,regression,0.6960906271645041,0.9310146444010934
openml_disclosure_z,small,regression,0.9773349606052433,0.960828232174048
openml_The_Office_Dataset,small,regression,0.6700542975244708,0.6662199093033658
openml_disclosure_x_tampered,small,regression,0.9550594335805993,0.9881825454333893
openml_weather_ankara,small,regression,0.11334469268328982,0.12384405454828712
openml_fruitfly,small,regression,1.0196816052176714,1.1073368315697918
openml_AAPL_stock_price_2021_2022_2,small,regression,0.09940734177301368,0.08164752892227845
openml_EgyptianSkulls,small,regression,0.8901281141910469,0.7402299463144647
openml_AAPL_stock_price_2021_2022,small,regression,0.0589461300504399,0.08943652036384937
openml_analcatdata_homerun,small,regression,0.9298521905771401,1.276870313160604
openml_autoPrice,small,regression,0.41494207707595737,0.35979277749581295
openml_ELE_1,small,regression,0.6014774807387351,0.42415467440484594
openml_machine_cpu,small,regression,0.28496419631527414,0.5063615169853578
openml_AAPL_stock_price_2021_2022_1,small,regression,0.08083387251443483,0.08193593504951217
openml_disclosure_x_bias,small,regression,0.9696941389519833,0.9532945826019686
openml_Boston_house_price_data,small,regression,0.3809194272943502,0.41758400151941455
openml_bodyfat,small,regression,0.17444962398502742,0.16592243608429616
openml_analcatdata_vineyard,small,regression,1.0320243240343512,0.9191706479442578
openml_Fish_market,small,regression,0.24481317581208134,0.1492803199428456
openml_cholesterol,small,regression,0.8046280922302118,0.9732125464757575
openml_auto_price,small,regression,0.41901082413651414,0.3680154718108736
openml_DEE,small,regression,0.36635212528996663,0.38684979540018405
openml_Reading_Hydro,small,regression,0.17031624400546994,0.17711238178717956
openml_pm10,small,regression,0.8087848308556627,0.888247076096837
openml_lowbwt,small,regression,0.6167632467658783,0.6413971968835492
openml_meta,small,regression,1.3050979608183262,0.273963667209661
openml_Forest_Fire_Area,small,regression,0.3410620283123919,0.4697410121289326
openml_cps_85_wages,small,regression,1.1854831735003264,0.9506729666140908
openml_HappinessRank_2015,small,regression,0.10875034345238263,0.14044088655895073
openml_boston,small,regression,0.3863495499674557,0.4210670115911632
openml_echoMonths,small,regression,0.8477712104999072,0.6991033618701569
openml_strikes,small,regression,0.6964047029617993,1.2567846232908046
openml_no2,small,regression,0.675612875188249,0.6834286735672881
road_safety,large,binclass,0.8020368814468384,0.8034276366233826
higgs_small,large,binclass,0.7897855043411255,0.7072479724884033
bank_marketing,large,binclass,0.8494827151298523,0.8478904962539673
MagicTelescope,large,binclass,0.8672312498092651,0.8317515850067139
credit,large,binclass,0.8448208570480347,0.7553973197937012
binarized_pol,large,binclass,0.9986003637313843,0.9957634210586548
helena,large,multiclass,0.3683251738548279,0.3180214762687683
jannis,large,multiclass,0.7243412733078003,0.6913477182388306
eye,large,multiclass,0.6952544450759888,0.7180073261260986
covtype,large,multiclass,0.9743978381156921,0.9735895395278931
Brazilian_houses,large,regression,0.07792805046140391,0.06741041502687656
medical_charges,large,regression,0.14136951111535884,0.14475614860509375
nyc_taxi_green_dec_2016,large,regression,0.737225822626633,0.7315028413729132
Ailerons,large,regression,0.392291557519985,0.37131754501554853
california,large,regression,0.3879537225671267,0.3985088695857683
sulfur,large,regression,0.6270735913108196,0.5743862608427341
pol,large,regression,0.06727383273310612,0.0652963610779729
SGEMM_GPU_kernel_performance,large,regression,0.013663785533731666,0.013830880281905157
diamonds,large,regression,0.23215458029448116,0.23082183203436704
house_sales,large,regression,0.3266770339962053,0.32197395766425924
house,large,regression,0.5968254398321796,0.5501230784900325
