iter	RMSE
0	0.8644367955
1	0.8513328081
2	0.8386105439
3	0.8268544912
4	0.813592062
5	0.8007025665
6	0.7892924645
7	0.7746899579
8	0.7631083066
9	0.7515884421
10	0.741744965
11	0.7297954361
12	0.7180859177
13	0.7069257134
14	0.6966695115
15	0.6865471633
16	0.6761886937
17	0.6667815647
18	0.6563658996
19	0.6470157504
20	0.6379607875
21	0.6295636291
22	0.620374036
23	0.6111145283
24	0.601320649
25	0.5922631587
26	0.5849309422
27	0.5764058447
28	0.568866318
29	0.5607603882
30	0.5518044616
31	0.5441124639
32	0.5364263475
33	0.5272858049
34	0.5195334222
35	0.5122278761
36	0.5060840473
37	0.4989412612
38	0.4921673061
39	0.4863441828
40	0.4800394732
41	0.4739197235
42	0.4685968815
43	0.462129243
44	0.454594406
45	0.4481400681
46	0.4421613139
47	0.4350679359
48	0.4291042188
49	0.4234768804
50	0.4177097512
51	0.4135126444
52	0.4071120109
53	0.4023833781
54	0.39657215
55	0.3921052664
56	0.3868937887
57	0.3823510138
58	0.3779433271
59	0.3729122566
60	0.3676818417
61	0.362431514
62	0.3587163449
63	0.3538976803
64	0.3496472088
65	0.3459932774
66	0.341532251
67	0.3377477188
68	0.3338502259
69	0.3303914597
70	0.3273162539
71	0.3233521812
72	0.3195861449
73	0.3158314868
74	0.3122708271
75	0.3090773604
76	0.3052569829
77	0.3016910487
78	0.298427017
79	0.295670417
80	0.2922781623
81	0.2891062847
82	0.2858302283
83	0.2826932299
84	0.2795817588
85	0.2767671981
86	0.2741841793
87	0.2712553348
88	0.2676578397
89	0.2651806714
90	0.2626646461
91	0.260582269
92	0.2582915049
93	0.2555496344
94	0.2526504942
95	0.2499728467
96	0.2477433826
97	0.2450266007
98	0.242894896
99	0.2409213413
100	0.2389864231
101	0.2369491998
102	0.235079107
103	0.2332179103
104	0.2314299882
105	0.2293790432
106	0.227453504
107	0.2258760697
108	0.2236457208
109	0.2220304844
110	0.22020077
111	0.2186777596
112	0.2171526281
113	0.2157202809
114	0.2139998533
115	0.2121959817
116	0.2104150133
117	0.2087462404
118	0.2071865127
119	0.2056945108
120	0.2040474187
121	0.2023062609
122	0.2009179652
123	0.198972923
124	0.1977047688
125	0.196384238
126	0.1948530829
127	0.1931313471
128	0.1916799189
129	0.1896701289
130	0.188633327
131	0.1876543904
132	0.1861871042
133	0.1846371722
134	0.1833734952
135	0.1814995511
136	0.179781729
137	0.1785307157
138	0.1775594377
139	0.1760782468
140	0.1750881497
141	0.173636398
142	0.1726567148
143	0.1711813591
144	0.1700663827
145	0.1687389925
