variant_id,ratio_cat,n_2,n_3-10,n_>10,H,p_kruskal,sig_kruskal,2_vs_3-10_p,2_vs_>10_p,3-10_vs_>10_p
resnet::decoding,full,495,18,9,7.877268389339258,0.019474795368597256,True,1.0,0.020011225739322586,3.422135517780665e-05
subtab::columnwise,few,495,18,9,6.864054317174741,0.0323213538078504,True,0.05480529394836358,1.0,3.422135517780665e-05
subtab::encoding,few,495,18,9,6.991084346449159,0.030332298617549047,True,0.031696276956445744,1.0,3.422135517780665e-05
subtab::start,few,495,18,9,19.44467552865343,5.9929735060091837e-05,True,0.0003263986191190195,0.09431228588521276,3.422135517780665e-05
subtab::start,full,495,18,9,13.851775286180649,0.0009820310380926332,True,0.017665046332162492,0.03465397115999914,3.422135517780665e-05
trompt::decoding,full,495,18,9,34.73107417416406,2.8723877624999622e-08,True,2.6264839344044596e-06,0.0022769021561277157,1.0
