,approx_normal,constant,heavy_tailed,highly_skewed,moderately_skewed,multimodal
resnet_0.8_decoding,2.7272727272727275,2.666666666666667,1.7777777777777777,2.666666666666667,4.444444444444445,4.357142857142858
subtab_0.05_columnwise,4.0,5.666666666666667,3.555555555555556,3.916666666666667,2.1111111111111107,2.6428571428571432
subtab_0.05_encoding,3.8181818181818175,4.333333333333334,3.333333333333333,3.916666666666667,3.0,2.7142857142857144
subtab_0.05_start,2.909090909090909,2.666666666666667,3.111111111111111,2.583333333333333,2.666666666666667,2.8571428571428568
subtab_0.8_start,4.181818181818182,4.0,4.888888888888889,4.0,4.555555555555555,4.071428571428571
trompt_0.8_decoding,3.636363636363636,1.666666666666667,4.333333333333334,4.166666666666667,4.666666666666667,4.357142857142858
