primary_label,resnet_0.8_decoding_mean_rank,resnet_0.8_decoding_count,trompt_0.8_decoding_mean_rank,trompt_0.8_decoding_count,subtab_0.8_start_mean_rank,subtab_0.8_start_count,subtab_0.05_columnwise_mean_rank,subtab_0.05_columnwise_count,subtab_0.05_encoding_mean_rank,subtab_0.05_encoding_count,subtab_0.05_start_mean_rank,subtab_0.05_start_count,resnet_0.8_decoding_inverted_score,subtab_0.05_columnwise_inverted_score,subtab_0.05_encoding_inverted_score,subtab_0.05_start_inverted_score,subtab_0.8_start_inverted_score,trompt_0.8_decoding_inverted_score
approx_normal,4.2727272727272725,11,3.363636363636364,11,2.8181818181818183,11,3.0,11,3.1818181818181817,11,4.090909090909091,11,2.7272727272727275,4.0,3.8181818181818183,2.909090909090909,4.181818181818182,3.636363636363636
constant,4.333333333333333,3,5.333333333333333,3,3.0,3,1.3333333333333333,3,2.6666666666666665,3,4.333333333333333,3,2.666666666666667,5.666666666666667,4.333333333333334,2.666666666666667,4.0,1.666666666666667
heavy_tailed,5.222222222222222,9,2.6666666666666665,9,2.111111111111111,9,3.4444444444444446,9,3.6666666666666665,9,3.888888888888889,9,1.7777777777777777,3.5555555555555554,3.3333333333333335,3.111111111111111,4.888888888888889,4.333333333333334
highly_skewed,4.333333333333333,12,2.833333333333333,12,3.0,12,3.083333333333333,12,3.083333333333333,12,4.416666666666667,12,2.666666666666667,3.916666666666667,3.916666666666667,2.583333333333333,4.0,4.166666666666667
moderately_skewed,2.555555555555556,9,2.333333333333333,9,2.4444444444444446,9,4.888888888888889,9,4.0,9,4.333333333333333,9,4.444444444444445,2.1111111111111107,3.0,2.666666666666667,4.555555555555555,4.666666666666667
multimodal,2.642857142857143,14,2.642857142857143,14,2.9285714285714284,14,4.357142857142857,14,4.285714285714286,14,4.142857142857143,14,4.357142857142858,2.6428571428571432,2.7142857142857144,2.8571428571428568,4.071428571428571,4.357142857142858
