primary_label,resnet_0.8_decoding_mean_rank,resnet_0.8_decoding_count,trompt_0.8_decoding_mean_rank,trompt_0.8_decoding_count,subtab_0.8_start_mean_rank,subtab_0.8_start_count,subtab_0.05_columnwise_mean_rank,subtab_0.05_columnwise_count,subtab_0.05_encoding_mean_rank,subtab_0.05_encoding_count,subtab_0.05_start_mean_rank,subtab_0.05_start_count
approx_normal,2.727272727272727,11,3.6363636363636362,11,4.181818181818182,11,3.727272727272727,11,3.5454545454545454,11,2.909090909090909,11
constant,2.6666666666666665,3,1.6666666666666667,3,4.0,3,5.666666666666667,3,4.333333333333333,3,2.6666666666666665,3
heavy_tailed,1.7777777777777777,9,4.333333333333333,9,4.888888888888889,9,3.5555555555555554,9,3.3333333333333335,9,3.111111111111111,9
highly_skewed,2.6666666666666665,12,4.166666666666667,12,4.0,12,3.75,12,3.75,12,2.4166666666666665,12
moderately_skewed,4.444444444444445,9,4.666666666666667,9,4.555555555555555,9,1.6666666666666667,9,2.5555555555555554,9,2.6666666666666665,9
multimodal,4.357142857142857,14,4.357142857142857,14,4.071428571428571,14,2.642857142857143,14,2.7142857142857144,14,2.857142857142857,14
