stage,model_count,approx_normal(11),constant(3),heavy_tailed(9),highly_skewed(12),moderately_skewed(9),multimodal(14)
columnwise,10,49.07272727272726,44.65,49.666666666666664,52.14166666666667,50.400000000000006,49.857142857142854
decoding,10,57.2590909090909,54.4,56.39444444444446,56.89999999999999,53.31666666666666,59.44642857142858
encoding,10,46.99545454545454,45.71666666666667,49.81666666666666,52.30833333333332,48.12222222222222,49.83571428571428
materialize,10,49.336363636363636,54.25,47.93888888888889,45.99166666666666,50.4,46.32142857142857
start,10,49.8,53.35,48.683333333333344,45.11666666666666,50.19444444444446,47.017857142857146
