primary_label,resnet_0.8_decoding_mean_rank,resnet_0.8_decoding_count,trompt_0.8_decoding_mean_rank,trompt_0.8_decoding_count,subtab_0.8_start_mean_rank,subtab_0.8_start_count,subtab_0.05_columnwise_mean_rank,subtab_0.05_columnwise_count,subtab_0.05_encoding_mean_rank,subtab_0.05_encoding_count,subtab_0.05_start_mean_rank,subtab_0.05_start_count
approx_normal,4.2727272727272725,11,3.3636363636363638,11,2.8181818181818183,11,3.0,11,3.1818181818181817,11,4.090909090909091,11
constant,4.333333333333333,3,5.333333333333333,3,3.0,3,1.3333333333333333,3,2.6666666666666665,3,4.333333333333333,3
heavy_tailed,5.222222222222222,9,2.6666666666666665,9,2.111111111111111,9,3.4444444444444446,9,3.6666666666666665,9,3.888888888888889,9
highly_skewed,4.333333333333333,12,2.8333333333333335,12,3.0,12,3.0833333333333335,12,3.0833333333333335,12,4.416666666666667,12
moderately_skewed,2.5555555555555554,9,2.3333333333333335,9,2.4444444444444446,9,4.888888888888889,9,4.0,9,4.333333333333333,9
multimodal,2.642857142857143,14,2.642857142857143,14,2.9285714285714284,14,4.357142857142857,14,4.285714285714286,14,4.142857142857143,14
