competitor,mean_rank,std_rank,min_rank,min_dists,max_rank,max_dists,rank_range,consistency,sorted_distributions
tabnet|0.05_0.15_0.8|encoding,78.7674,8.704,71.8571,multimodal,95.6667,constant,23.8095,variable,multimodal:71.857;moderately_skewed:73.556;highly_skewed:74.667;approx_normal:77.636;heavy_tailed:79.222;constant:95.667
tabnet|0.05_0.15_0.8|materialize,57.8307,5.9605,50.3333,highly_skewed,65.7778,moderately_skewed,15.4444,variable,highly_skewed:50.333;multimodal:53.429;heavy_tailed:54.444;approx_normal:61.0;constant:62.0;moderately_skewed:65.778
tabnet|0.05_0.15_0.8|start,57.7736,7.0619,48.8333,highly_skewed,64.6667,moderately_skewed,15.8333,variable,highly_skewed:48.833;multimodal:49.0;constant:60.333;heavy_tailed:60.444;approx_normal:63.364;moderately_skewed:64.667
tabnet|0.8_0.15_0.05|columnwise,70.0492,14.6545,53.6667,moderately_skewed,93.6667,constant,40.0,variable,moderately_skewed:53.667;heavy_tailed:56.444;approx_normal:66.636;multimodal:73.714;highly_skewed:76.167;constant:93.667
tabnet|0.8_0.15_0.05|decoding,12.6083,6.7,1.0,constant,18.8333,highly_skewed,17.8333,variable,constant:1.0;moderately_skewed:9.0;approx_normal:13.182;heavy_tailed:15.778;multimodal:17.857;highly_skewed:18.833
tabnet|0.8_0.15_0.05|encoding,71.2852,14.5226,54.2222,heavy_tailed,94.0,constant,39.7778,variable,heavy_tailed:54.222;moderately_skewed:57.667;approx_normal:68.727;multimodal:76.429;highly_skewed:76.667;constant:94.0
tabnet|0.8_0.15_0.05|materialize,34.3251,3.2383,29.3571,multimodal,37.9167,highly_skewed,8.5595,variable,multimodal:29.357;approx_normal:31.455;moderately_skewed:35.111;constant:36.0;heavy_tailed:36.111;highly_skewed:37.917
tabnet|0.8_0.15_0.05|start,31.6231,2.8789,26.1111,moderately_skewed,34.0833,highly_skewed,7.9722,variable,moderately_skewed:26.111;constant:31.333;approx_normal:31.909;multimodal:32.857;heavy_tailed:33.444;highly_skewed:34.083
tabtransformer|0.05_0.15_0.8|columnwise,65.8321,6.7739,58.6667,constant,76.6667,moderately_skewed,18.0,variable,constant:58.667;highly_skewed:59.5;multimodal:63.786;heavy_tailed:66.556;approx_normal:69.818;moderately_skewed:76.667
tabtransformer|0.05_0.15_0.8|decoding,68.3614,4.0802,61.0,highly_skewed,72.6429,multimodal,11.6429,variable,highly_skewed:61.0;heavy_tailed:67.0;moderately_skewed:68.889;approx_normal:69.636;constant:71.0;multimodal:72.643
