dataset_name,dataset_size,task_type,best_val_metric,test_result
openml_HappinessRank_2015,small,regression,1.0156062,1.0941819
openml_boston,small,regression,1.0583969,0.80375504
openml_echoMonths,small,regression,1.0395495,1.0652746
openml_strikes,small,regression,1.1063462,1.5875494
openml_no2,small,regression,1.1245098,1.0391484
road_safety,large,binclass,0.6858143050984831,0.6750093859357034
higgs_small,large,binclass,0.6272914558841641,0.5965453800785165
bank_marketing,large,binclass,0.7619065793302832,0.7300357358565133
MagicTelescope,large,binclass,0.8150548354935194,0.7854616592600508
credit,large,binclass,0.7677179436264027,0.7149977164389906
binarized_pol,large,binclass,0.8232850271464257,0.8077346068104274
helena,large,multiclass,0.265466816647919,0.25886728785612945
jannis,large,multiclass,0.6196656050955414,0.5875468374460716
eye,large,multiclass,0.4689024390243902,0.4472
covtype,large,multiclass,0.7584192952461819,0.7566537797083116
Brazilian_houses,large,regression,0.9723343,0.23981252
medical_charges,large,regression,1.0095373,0.196426
nyc_taxi_green_dec_2016,large,regression,0.96462005,0.78700507
Ailerons,large,regression,0.90347856,0.7147695
california,large,regression,1.156394,0.5812848
sulfur,large,regression,0.97782725,0.60162824
pol,large,regression,1.0152014,0.77618754
SGEMM_GPU_kernel_performance,large,regression,0.93765354,0.12001089
diamonds,large,regression,0.76730794,0.27106908
house_sales,large,regression,1.0938872,0.50862
house,large,regression,0.98736244,0.8002365
