dataset,n_unique,competitor,best_test_metric,rank
MagicTelescope,2,excelformer|0.8_0.15_0.05|encoding,0.8784610033035278,42
MagicTelescope,2,excelformer|0.8_0.15_0.05|columnwise,0.8535704612731934,55
MagicTelescope,2,excelformer|0.8_0.15_0.05|decoding,0.8918133974075317,27
MagicTelescope,2,tabtransformer|0.8_0.15_0.05|start,0.8789793252944946,40
MagicTelescope,2,tabtransformer|0.8_0.15_0.05|materialize,0.8829475045204163,36
MagicTelescope,2,tabtransformer|0.8_0.15_0.05|encoding,0.8710787296295166,48
MagicTelescope,2,tabtransformer|0.8_0.15_0.05|columnwise,0.8863794803619385,30
MagicTelescope,2,tabtransformer|0.8_0.15_0.05|decoding,0.8855661810706945,33
MagicTelescope,2,tabm|0.8_0.15_0.05|start,0.8370702266693115,61
MagicTelescope,2,tabm|0.8_0.15_0.05|materialize,0.8266068696975708,63
MagicTelescope,2,tabm|0.8_0.15_0.05|encoding,0.8400598168373108,60
MagicTelescope,2,tabm|0.8_0.15_0.05|columnwise,0.8445441126823425,59
MagicTelescope,2,tabm|0.8_0.15_0.05|decoding,0.8550074696540833,54
MagicTelescope,2,resnet|0.8_0.15_0.05|start,0.9163464307785034,13
MagicTelescope,2,resnet|0.8_0.15_0.05|materialize,0.9131110906600952,17
MagicTelescope,2,resnet|0.8_0.15_0.05|encoding,0.9419876933097839,1
MagicTelescope,2,resnet|0.8_0.15_0.05|columnwise,0.9270891547203064,7
MagicTelescope,2,resnet|0.8_0.15_0.05|decoding,0.9348556995391846,4
MagicTelescope,2,subtab|0.8_0.15_0.05|start,0.8125927249977656,68
MagicTelescope,2,subtab|0.8_0.15_0.05|materialize,0.8056752167307175,71
MagicTelescope,2,subtab|0.8_0.15_0.05|encoding,0.8349539726517115,62
MagicTelescope,2,subtab|0.8_0.15_0.05|columnwise,0.8206899633568684,65
MagicTelescope,2,subtab|0.8_0.15_0.05|decoding,0.863222808115113,52
MagicTelescope,2,vime|0.05_0.15_0.8|start,0.8858156305835053,31
MagicTelescope,2,vime|0.05_0.15_0.8|materialize,0.8789399308715113,41
MagicTelescope,2,vime|0.05_0.15_0.8|encoding,0.895738695012025,25
MagicTelescope,2,vime|0.05_0.15_0.8|columnwise,0.8912245942325392,28
MagicTelescope,2,vime|0.05_0.15_0.8|decoding,0.8773811515709353,44
MagicTelescope,2,tabtransformer|0.05_0.15_0.8|start,0.8029991388320923,72
MagicTelescope,2,tabtransformer|0.05_0.15_0.8|materialize,0.7853643298149109,76
MagicTelescope,2,tabtransformer|0.05_0.15_0.8|encoding,0.7789132595062256,77
MagicTelescope,2,tabtransformer|0.05_0.15_0.8|columnwise,0.7660987377166748,81
MagicTelescope,2,tabtransformer|0.05_0.15_0.8|decoding,0.8694799950976195,49
UCI_Absenteeism_at_work,2,trompt|0.05_0.15_0.8|start,0.558657169342041,68
UCI_Absenteeism_at_work,2,trompt|0.05_0.15_0.8|materialize,0.6374441385269165,44
UCI_Absenteeism_at_work,2,trompt|0.05_0.15_0.8|encoding,0.5923341512680054,56
UCI_Absenteeism_at_work,2,trompt|0.05_0.15_0.8|columnwise,0.6836005449295044,33
UCI_Absenteeism_at_work,2,trompt|0.05_0.15_0.8|decoding,0.6225253125176763,50
UCI_Absenteeism_at_work,2,resnet|0.05_0.15_0.8|start,0.5351901054382324,76
UCI_Absenteeism_at_work,2,resnet|0.05_0.15_0.8|materialize,0.6657121181488037,37
UCI_Absenteeism_at_work,2,resnet|0.05_0.15_0.8|encoding,0.5422182083129883,72
UCI_Absenteeism_at_work,2,resnet|0.05_0.15_0.8|columnwise,0.5209923982620239,82
UCI_Absenteeism_at_work,2,resnet|0.05_0.15_0.8|decoding,0.5729326009750366,60
UCI_Absenteeism_at_work,2,trompt|0.8_0.15_0.05|start,0.6777777671813965,35
UCI_Absenteeism_at_work,2,trompt|0.8_0.15_0.05|materialize,0.8314814567565918,1
UCI_Absenteeism_at_work,2,trompt|0.8_0.15_0.05|encoding,0.7259259223937988,17
UCI_Absenteeism_at_work,2,trompt|0.8_0.15_0.05|columnwise,0.729629635810852,15
UCI_Absenteeism_at_work,2,trompt|0.8_0.15_0.05|decoding,0.6888888888888889,30
UCI_Absenteeism_at_work,2,scarf|0.05_0.15_0.8|start,0.6307907687086374,46
UCI_Absenteeism_at_work,2,scarf|0.05_0.15_0.8|materialize,0.6251131285706205,49
UCI_Absenteeism_at_work,2,scarf|0.05_0.15_0.8|encoding,0.589569545788789,57
UCI_Absenteeism_at_work,2,scarf|0.05_0.15_0.8|columnwise,0.5965410939532779,55
UCI_Absenteeism_at_work,2,scarf|0.05_0.15_0.8|decoding,0.47691470105775213,95
UCI_Absenteeism_at_work,2,subtab|0.05_0.15_0.8|start,0.49301431076418345,91
UCI_Absenteeism_at_work,2,subtab|0.05_0.15_0.8|materialize,0.4932971321907348,90
UCI_Absenteeism_at_work,2,subtab|0.05_0.15_0.8|encoding,0.49391933932914756,89
UCI_Absenteeism_at_work,2,subtab|0.05_0.15_0.8|columnwise,0.48602862152836696,93
UCI_Absenteeism_at_work,2,subtab|0.05_0.15_0.8|decoding,0.5661660727416709,63
UCI_Absenteeism_at_work,2,fttransformer|0.8_0.15_0.05|start,0.5407407283782959,74
UCI_Absenteeism_at_work,2,fttransformer|0.8_0.15_0.05|materialize,0.5129629373550415,84
UCI_Absenteeism_at_work,2,fttransformer|0.8_0.15_0.05|encoding,0.6296296119689941,47
UCI_Absenteeism_at_work,2,fttransformer|0.8_0.15_0.05|columnwise,0.6740740537643433,36
UCI_Absenteeism_at_work,2,fttransformer|0.8_0.15_0.05|decoding,0.3333333134651184,100
UCI_Absenteeism_at_work,2,tabnet|0.05_0.15_0.8|start,0.6600133180618286,38
UCI_Absenteeism_at_work,2,tabnet|0.05_0.15_0.8|materialize,0.5194792747497559,83
UCI_Absenteeism_at_work,2,tabnet|0.05_0.15_0.8|encoding,0.4684937000274658,97
UCI_Absenteeism_at_work,2,tabnet|0.05_0.15_0.8|columnwise,0.5476271510124207,70
UCI_Absenteeism_at_work,2,tabnet|0.05_0.15_0.8|decoding,0.6187355518341064,52
UCI_Absenteeism_at_work,2,excelformer|0.05_0.15_0.8|start,0.48310142755508423,94
UCI_Absenteeism_at_work,2,excelformer|0.05_0.15_0.8|materialize,0.5514876842498779,69
