competitor,rank,n_unique
vime|0.05_0.15_0.8|encoding,43.45454545454545,2
vime|0.05_0.15_0.8|materialize,59.49090909090909,2
vime|0.05_0.15_0.8|start,56.8,2
vime|0.8_0.15_0.05|columnwise,19.254545454545454,2
vime|0.8_0.15_0.05|decoding,34.49090909090909,2
vime|0.8_0.15_0.05|encoding,17.87272727272727,2
vime|0.8_0.15_0.05|materialize,27.30909090909091,2
vime|0.8_0.15_0.05|start,30.30909090909091,2
excelformer|0.05_0.15_0.8|columnwise,25.0,3
excelformer|0.05_0.15_0.8|decoding,82.0,3
excelformer|0.05_0.15_0.8|encoding,31.0,3
excelformer|0.05_0.15_0.8|materialize,52.0,3
excelformer|0.05_0.15_0.8|start,46.0,3
excelformer|0.8_0.15_0.05|columnwise,1.0,3
excelformer|0.8_0.15_0.05|decoding,19.0,3
excelformer|0.8_0.15_0.05|encoding,2.0,3
excelformer|0.8_0.15_0.05|materialize,23.0,3
excelformer|0.8_0.15_0.05|start,22.0,3
fttransformer|0.05_0.15_0.8|columnwise,90.0,3
fttransformer|0.05_0.15_0.8|decoding,90.0,3
fttransformer|0.05_0.15_0.8|encoding,99.0,3
fttransformer|0.05_0.15_0.8|materialize,90.0,3
fttransformer|0.05_0.15_0.8|start,89.0,3
fttransformer|0.8_0.15_0.05|columnwise,7.0,3
fttransformer|0.8_0.15_0.05|decoding,95.0,3
fttransformer|0.8_0.15_0.05|encoding,8.0,3
fttransformer|0.8_0.15_0.05|materialize,27.0,3
fttransformer|0.8_0.15_0.05|start,58.0,3
resnet|0.05_0.15_0.8|columnwise,33.0,3
resnet|0.05_0.15_0.8|decoding,35.0,3
resnet|0.05_0.15_0.8|encoding,32.0,3
resnet|0.05_0.15_0.8|materialize,55.0,3
resnet|0.05_0.15_0.8|start,59.0,3
resnet|0.8_0.15_0.05|columnwise,6.0,3
resnet|0.8_0.15_0.05|decoding,42.0,3
resnet|0.8_0.15_0.05|encoding,3.0,3
resnet|0.8_0.15_0.05|materialize,14.0,3
resnet|0.8_0.15_0.05|start,14.0,3
scarf|0.05_0.15_0.8|columnwise,85.0,3
scarf|0.05_0.15_0.8|decoding,86.0,3
scarf|0.05_0.15_0.8|encoding,81.0,3
scarf|0.05_0.15_0.8|materialize,76.0,3
scarf|0.05_0.15_0.8|start,72.0,3
scarf|0.8_0.15_0.05|columnwise,67.0,3
scarf|0.8_0.15_0.05|decoding,87.0,3
scarf|0.8_0.15_0.05|encoding,83.0,3
scarf|0.8_0.15_0.05|materialize,61.0,3
scarf|0.8_0.15_0.05|start,70.0,3
subtab|0.05_0.15_0.8|columnwise,73.0,3
subtab|0.05_0.15_0.8|decoding,88.0,3
subtab|0.05_0.15_0.8|encoding,75.0,3
subtab|0.05_0.15_0.8|materialize,80.0,3
subtab|0.05_0.15_0.8|start,79.0,3
subtab|0.8_0.15_0.05|columnwise,57.0,3
subtab|0.8_0.15_0.05|decoding,83.0,3
subtab|0.8_0.15_0.05|encoding,66.0,3
subtab|0.8_0.15_0.05|materialize,71.0,3
subtab|0.8_0.15_0.05|start,54.0,3
tabm|0.05_0.15_0.8|columnwise,38.0,3
tabm|0.05_0.15_0.8|decoding,90.0,3
tabm|0.05_0.15_0.8|encoding,37.0,3
tabm|0.05_0.15_0.8|materialize,43.0,3
tabm|0.05_0.15_0.8|start,47.0,3
tabm|0.8_0.15_0.05|columnwise,18.0,3
tabm|0.8_0.15_0.05|decoding,13.0,3
tabm|0.8_0.15_0.05|encoding,12.0,3
tabm|0.8_0.15_0.05|materialize,17.0,3
tabm|0.8_0.15_0.05|start,16.0,3
tabnet|0.05_0.15_0.8|columnwise,99.0,3
tabnet|0.05_0.15_0.8|decoding,48.0,3
